variable,coef,se,ci_lo,ci_hi,event_time,outcome
et_neg4,0.4804887339877891,0.34597884311876614,-0.19762979852499257,1.1586072665005707,-4.0,nat_change_rate
et_neg3,0.5444965664884938,0.33851216964257924,-0.11898728601096153,1.207980418987949,-3.0,nat_change_rate
et_neg2,0.5134482266058596,0.3359017045209642,-0.14491911425523019,1.1718155674669495,-2.0,nat_change_rate
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,nat_change_rate
et_0,0.5548471462901413,0.3070586808925343,-0.04698786825922585,1.1566821608395084,0.0,nat_change_rate
et_1,0.7224276636210631,0.29214010812173147,0.14983305170246952,1.2950222755396568,1.0,nat_change_rate
et_2,0.44290460079436034,0.29699520626039366,-0.1392060034760112,1.0250152050647319,2.0,nat_change_rate
et_3,0.72821809150255,0.2719671850473801,0.19516240880968505,1.261273774195415,3.0,nat_change_rate
et_4,0.9660106761259996,0.2815994937964542,0.41407566828494935,1.5179456839670498,4.0,nat_change_rate
et_5,0.7607631527554293,0.24764859943141293,0.27537189786985994,1.2461544076409985,5.0,nat_change_rate
et_6,0.7972422128498878,0.2325307819727288,0.34148188018333936,1.2530025455164364,6.0,nat_change_rate
et_7,0.6896372662175618,0.21958819812023356,0.25924439790190407,1.1200301345332195,7.0,nat_change_rate
et_8,0.5917342640275454,0.20604787858996726,0.18788042199120952,0.9955881060638812,8.0,nat_change_rate
et_9,0.5523511801147396,0.22638252176627827,0.10864143745283422,0.996060922776645,9.0,nat_change_rate
et_10,0.7646206584141011,0.21487103652792586,0.34347342681936643,1.1857678900088358,10.0,nat_change_rate
et_11,0.5542499835200355,0.15739644376420386,0.24575295374219597,0.8627470132978751,11.0,nat_change_rate
et_12,0.5226020787454216,0.1693333549330582,0.19070870307662757,0.8544954544142157,12.0,nat_change_rate
et_13,0.4228004792631,0.18658173001081924,0.0571002884418943,0.7885006700843057,13.0,nat_change_rate
et_14,0.3675380249086891,0.1983258089523735,-0.021180560637962975,0.7562566104553412,14.0,nat_change_rate
et_15,0.10318717159417527,0.18634441570341706,-0.26204788318452216,0.46842222637287273,15.0,nat_change_rate
et_16,0.3956956854264842,0.1482776913529294,0.1050714103747426,0.6863199604782257,16.0,nat_change_rate
et_17,0.39826963038385005,0.11346228055815893,0.17588356048985854,0.6206557002778416,17.0,nat_change_rate
et_18,0.38281356473043776,0.12406158353725222,0.1396528609974234,0.6259742684634522,18.0,nat_change_rate
et_19,0.3378400919161744,0.11635934961440901,0.10977576667193276,0.5659044171604161,19.0,nat_change_rate
et_20,0.12420050411954174,0.1545313286382278,-0.1786809000113847,0.4270819082504682,20.0,nat_change_rate
et_neg4,-0.9165337143567528,0.2440942023131857,-1.3949583508905967,-0.4381090778229088,-4.0,birth_rate
et_neg3,-0.9748179489754955,0.21550905651560248,-1.3972156997460763,-0.5524201982049146,-3.0,birth_rate
et_neg2,-0.9862700145542648,0.22871236053578647,-1.4345462412044063,-0.5379937879041232,-2.0,birth_rate
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,birth_rate
et_0,-0.9421568160209125,0.19520270226599332,-1.3247541124622595,-0.5595595195795656,0.0,birth_rate
et_1,-0.7132202187149097,0.20389606924145337,-1.1128565144281584,-0.3135839230016611,1.0,birth_rate
et_2,-0.7786709521049473,0.17437814388598477,-1.1204521141214774,-0.43688979008841716,2.0,birth_rate
et_3,-0.5187452184394774,0.1736036786025654,-0.8590084285005055,-0.17848200837844924,3.0,birth_rate
et_4,-0.3003972520519865,0.1408944315239444,-0.5765503378389175,-0.024244166265055433,4.0,birth_rate
et_5,-0.4047496852770135,0.14040465229588603,-0.6799428037769502,-0.1295565667770769,5.0,birth_rate
et_6,-0.25069223742212215,0.1248787850962715,-0.4954546562108143,-0.005929818633430034,6.0,birth_rate
et_7,-0.20608574576254532,0.13074721619855806,-0.4623502895117191,0.05017879798662847,7.0,birth_rate
et_8,-0.3575603791148505,0.11869903748947712,-0.5902104925942256,-0.12491026563547536,8.0,birth_rate
et_9,-0.4785526544259657,0.13247756001985883,-0.738208672064889,-0.21889663678704235,9.0,birth_rate
et_10,-0.2721751543085142,0.14628529591639322,-0.5588943343046449,0.014544025687616535,10.0,birth_rate
et_11,-0.06880213310629046,0.10427925000402158,-0.27318946311417275,0.13558519690159182,11.0,birth_rate
et_12,-0.20817911912966106,0.11117806479750442,-0.4260881261327697,0.009729887873447585,12.0,birth_rate
et_13,-0.192130983500078,0.10895911657626979,-0.4056908519895668,0.021428884989410785,13.0,birth_rate
et_14,-0.16916924125462499,0.10244993181662125,-0.36997110761520263,0.03163262510595266,14.0,birth_rate
et_15,-0.17051214878988175,0.11344607302867213,-0.3928664519260791,0.051842154346315616,15.0,birth_rate
et_16,0.0721863540631743,0.09368437448896998,-0.11143501993520687,0.25580772806155544,16.0,birth_rate
et_17,0.13917874966809385,0.09456858319771642,-0.04617567339943035,0.32453317273561805,17.0,birth_rate
et_18,0.11857255342047762,0.12159907615208022,-0.1197616358375996,0.3569067426785548,18.0,birth_rate
et_19,0.24332858224154633,0.11550548641215469,0.016937828873723138,0.4697193356093695,19.0,birth_rate
et_20,0.09156200172533396,0.11662478697150243,-0.1370225807388108,0.3201465841894787,20.0,birth_rate
et_neg4,-1.3970224483445415,0.2062433856439432,-1.8012594842066703,-0.9927854124824128,-4.0,death_rate
et_neg3,-1.51931451546399,0.2030937680899734,-1.9173783009203378,-1.1212507300076422,-3.0,death_rate
et_neg2,-1.4997182411601246,0.20138484432026327,-1.8944325360278407,-1.1050039462924086,-2.0,death_rate
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,death_rate
et_0,-1.497003962311054,0.1542209280239038,-1.7992769812379055,-1.1947309433842026,0.0,death_rate
et_1,-1.435647882335973,0.15505539165884044,-1.7395564499873002,-1.131739314684646,1.0,death_rate
et_2,-1.221575552899307,0.1800710644166725,-1.5745148391559851,-0.868636266642629,2.0,death_rate
et_3,-1.2469633099420276,0.15525051402772624,-1.551254317436371,-0.9426723024476842,3.0,death_rate
et_4,-1.2664079281779863,0.17541134712106057,-1.610214168535265,-0.9226016878207076,4.0,death_rate
et_5,-1.1655128380324438,0.1448956496052762,-1.4495083112587852,-0.8815173648061024,5.0,death_rate
et_6,-1.0479344502720103,0.14930516458831475,-1.3405725728651072,-0.7552963276789133,6.0,death_rate
et_7,-0.895723011980107,0.12781597137059025,-1.1462423158664639,-0.64520370809375,7.0,death_rate
et_8,-0.9492946431423956,0.13208077533869775,-1.2081729628062432,-0.6904163234785481,8.0,death_rate
